,z,T,P,nabla_ad,S,rho,delta,cp,cv,opac,fconv,frad,y
0,0.0,3500.0000600877497,2.1189452600716203,0.39825868929594505,198450.9033203125,9.509129594853505e-08,1.0007415612316723,16013.042325321545,9637.117767333984,3.3604631360067544e-05,-0.0,-17193223794.24632,0.4472135954999579
1,25000.0,3500.0001201754962,2.1189452600716203,0.39825868929594505,198450.9033203125,9.509129594853505e-08,1.0007415612316723,16013.042215860136,9637.117767333984,3.3604631360067544e-05,-0.0,-12522917063.639336,0.4569403325576148
2,50000.0,3500.000182805989,2.2410545890615428,0.3981643996008772,198108.69140625,1.0057141924812996e-07,1.0007796588670579,16017.895710355362,9641.577911376953,3.4402016550477304e-05,-0.0,-9080559875.73914,0.466684921807038
3,75000.0,3500.000261167407,3.048487028460738,0.39753029693000713,196144.3359375,1.3680925836645486e-07,1.0011310703977165,16051.395551323552,9671.228790283203,3.926139882596846e-05,-0.0,-6709903670.365813,0.47644664505525786
4,100000.0,3500.0003858576497,4.146928122233725,0.3966689411532167,194179.5654296875,1.8610962770893025e-07,1.001530341378435,16097.067054457479,9711.943817138672,4.509231828933859e-05,-0.0,-5042079014.597609,0.48622464807106175
5,125000.0,3500.000585761839,5.641355647650662,0.39549720314918935,192213.5009765625,2.5318638852134256e-07,1.002080773299433,16160.457101217515,9768.470001220703,5.213312197529968e-05,-0.0,-3844160054.141474,0.4960181506174538
6,150000.0,3500.0009085050438,7.6746698955244685,0.39391273314675335,190245.80078125,3.4445885033207446e-07,1.0028329273902963,16244.845169831926,9843.936920166016,6.054812202270623e-05,-0.0,-2964177803.747534,0.5058265536903748
7,175000.0,3500.0014321863227,10.441210039999497,0.3917947278938095,188277.16064453125,4.6865883396307595e-07,1.0039261418853256,16360.758854772721,9947.003173828125,7.056969963682152e-05,-0.0,-2309445051.1967683,0.5156493558781573
8,200000.0,3500.0022856368296,14.205603235248523,0.38894663007828817,186306.298828125,6.376820183007226e-07,1.0051841089026563,16515.586664529175,10086.430358886719,8.258240410854311e-05,-0.0,-1817755362.7639315,0.5254860918058536
9,225000.0,3500.003683284056,19.328139467696737,0.3851527312824197,184332.67822265625,8.677294438541594e-07,1.007144809649047,16729.53275794717,10277.07290649414,9.70303241305475e-05,-0.0,-1444591911.8865926,0.5353362993441051
10,250000.0,3500.005982891521,26.29983467402228,0.3801444480456155,182355.2001953125,1.180916142651256e-06,1.009732486489417,17017.616229925196,10534.043884277344,0.00011441290627892303,-0.0,-1158031137.2509727,0.5451995031221982
11,275000.0,3500.009782219057,35.78919735700009,0.3735900092491118,180372.94921875,1.6073609110378584e-06,1.0132107760512918,17409.539070670697,10884.153747558594,0.00013531033427820202,-0.0,-936469296.4397113,0.5550752038459982
12,300000.0,3500.0160816376715,48.70719738440594,0.3651112002495877,178384.0576171875,2.1881845224669405e-06,1.0179132284381625,17940.4855012436,11358.208465576172,0.00016043756174729151,-0.0,-763584503.279903,0.564962870008231
13,325000.0,3500.026564350656,66.29631926289126,0.354326217361098,176385.53466796875,2.9795881317795647e-06,1.024350303389343,18659.89649530529,11999.517822265625,0.00019091001614645134,-0.0,-627237911.0885577,0.5748619307654275
14,350000.0,3500.0440955889553,90.25213206073836,0.3408832609029224,174373.3154296875,4.05847799811454e-06,1.033082537457364,19631.784435906506,12865.049743652344,0.0002282519053591342,-0.0,-518785230.5426724,0.5847717700583308
15,375000.0,3500.073614075578,122.89107658251237,0.3245762397077942,172344.12841796875,5.530297997324851e-06,1.044821328485262,20941.317494964947,14030.003356933594,0.00027476581436724145,-0.0,-431521474.29300886,0.594691722130101
16,400000.0,3500.1237511418426,167.3832256053703,0.30539601618874757,170286.48681640625,7.540115198878539e-06,1.0606783888629483,22698.42520143135,15590.187072753906,0.0003330369409408362,-0.0,-360925052.84357476,0.6046210685144546
17,425000.0,3500.2096395655362,228.07185662586997,0.2836442136682933,168182.72705078125,1.0287934060215775e-05,1.0819206033782818,25047.728470991635,17671.998596191406,0.00040585399686349265,-0.0,-303483632.66960365,0.6145590367229953
18,450000.0,3500.3580352874797,310.92212095512764,0.2599912400336167,166031.82373046875,1.4050556274014525e-05,1.1104002934713606,28165.791605653023,20424.87335205078,0.0004988984028038092,-0.0,-256441623.14494446,0.6245048007880587
19,475000.0,3500.6179031739052,424.1541552937632,0.2354284082331329,163817.4560546875,1.9214144941770428e-05,1.1482027840513254,32267.338363257455,24030.62744140625,0.0006216838204180379,-0.0,-217713900.40259802,0.6344574828811476
20,500000.0,3501.082256957656,579.1421612034044,0.21111138514566083,161519.7998046875,2.6319712631561742e-05,1.1980033502802694,37593.59749940381,28684.796142578125,0.0007896999846891762,-0.0,-185673087.5819738,0.6444161577151634
21,525000.0,3501.9337225772415,791.699314353016,0.18818848820398548,159117.0166015625,3.6131304170794465e-05,1.2624624519089047,44382.198430422904,34572.161865234375,0.0010220791512910244,-0.0,-159044425.14538062,0.6543798615511618
22,550000.0,3503.519184052297,1083.9002126805717,0.16761359753673025,156585.595703125,4.973369982508302e-05,1.344321997879067,52811.13692537208,41808.48388671875,0.0013033331508108823,-0.0,-136807027.11205664,0.6643476073905152
23,575000.0,3506.4447053254557,1486.7945864947258,0.15002079894413614,153904.87060546875,6.867637836194262e-05,1.4449624134422085,62889.6786847197,50350.76904296875,0.0016754628505478493,-0.0,-118157716.77033319,0.6743184079422878
24,600000.0,3511.9058212458335,2044.137080166421,0.13576554206953967,151074.23095703125,9.51550305217097e-05,1.5631124556841887,74275.41332488111,59843.24951171875,0.002163408637636265,-0.0,-102457187.49405146,0.684291308258997
25,625000.0,3522.137549911715,2817.5358129015194,0.12502112596584042,148141.0888671875,0.0001322051303986882,1.6911478078108346,86005.43563879086,69427.294921875,0.0027824645249495818,-0.0,-89171138.08277024,0.6942654344023312
26,650000.0,3541.112890870485,3892.4874389304086,0.1176650790980809,145196.6796875,0.00018375146737525938,1.813157210344678,96428.39779424045,77732.0068359375,0.0035500692205834026,-0.0,-77865493.94320682,0.7042400647756123
27,675000.0,3575.5410618748306,5382.648164198056,0.11399059485406457,142530.859375,0.00025406086479051737,1.9007353031595504,102938.87489408188,82705.15747070312,0.004514847221769433,-0.0,-68201814.55917004,0.714214731038097
28,700000.0,3636.4605595426638,7427.737777972039,0.11455754222890205,140566.162109375,0.00034595689157868037,1.9206470471695163,102899.31333997748,82357.2509765625,0.005885991319405881,-0.0,-59918222.00368977,0.7241893521927892
29,725000.0,3742.7114216744617,10170.168626062017,0.12191914852303651,139772.71728515625,0.00045707673734796117,1.8299899758433433,92893.48583264694,74037.744140625,0.00817755146936138,-0.0,-52790819.20580542,0.7341643953502281
30,750000.0,3927.7357355958143,13704.3745762197,0.1437540250094681,140463.2568359375,0.0005754711764893727,1.6001409833908369,70529.44349896688,55636.0107421875,0.012845972057941286,-0.0,-46634904.610705465,0.7441410313567732
31,775000.0,4259.976996171025,18005.580432450108,0.20515144205043445,142247.900390625,0.0006793313218622643,1.2820843681401048,40527.67420127375,30516.305541992188,0.025585977811715416,-78238.97511492601,-41301570.1271602,0.754121218881288
32,800000.0,4883.900201283637,22875.028419766717,0.3266180320891028,144265.00244140625,0.0007399064543278655,1.0651121601137834,20984.94018040182,13843.902587890625,0.06138734414882723,-266223.35333498946,-36670396.82973116,0.7641076278580571
33,825000.0,5769.726215573383,28041.35340301668,0.382677620392155,145942.9443359375,0.0007642326522727672,1.0128887317366466,16872.454553227784,10356.065368652344,0.10297016188244115,-767836.4319744232,-32639514.9119941,0.7741033428894321
34,850000.0,6879.3512455203445,33276.03973266062,0.37080047403148214,147806.35986328125,0.0007594772455377097,1.0104994032010468,17307.08727315089,10807.649993896484,0.3423629584926132,-1928675.1041317494,-29118202.367854487,0.7841114897295024
35,875000.0,9230.601234239917,38059.208277706144,0.20958852469567393,153702.978515625,0.0006376195642587845,1.1514803749720242,34805.109634451495,26297.0458984375,4.765497162930892,-7398907.246328174,-26036366.60031585,0.7941349348550805
36,900000.0,10987.865300287123,42196.09249544477,0.12877179766768623,162441.50390625,0.0005624785899271956,1.5641442467508166,81088.36977789972,64923.5107421875,22.33914236745112,-23941376.97368331,-23330191.806138705,0.804175637709731
37,925000.0,10715.636567312627,46333.90837698437,0.13949159961589047,159564.892578125,0.0006432347845475306,1.4533635899709754,68450.21655110006,54613.90380859375,18.648123127235944,-17110440.168016225,-20949604.940859076,0.8142344330077991
38,950000.0,11190.286358291365,50824.105991388366,0.1280836562014778,161963.58642578125,0.0006625094783885288,1.5863370003869754,83068.92079119362,66402.97241210938,26.977986376494886,-17040189.193536554,-18848185.57841968,0.8243118430442958
39,975000.0,11579.364073160112,55460.12647229983,0.12148422221439548,164096.64306640625,0.0006857786729597137,1.702552244345233,95879.1698406247,76474.99389648438,35.568159413484736,-15677175.561178077,-16991893.32926505,0.8344084955517816
40,1000000.0,11911.66877725657,60266.02214874086,0.11737545782625437,166002.490234375,0.0007119224392226897,1.803214375631771,107069.28880035071,85077.22778320312,44.30185479814796,-14461855.13691634,-15348262.985033866,0.8445248609182417
41,1025000.0,12167.078236052577,65274.56480657957,0.1151966996258054,167346.044921875,0.0007447861207765527,1.8753058990251779,115099.27297810047,91117.87109375,52.07374071488861,-13127933.173749821,-13889581.183734875,0.8546612718230562
42,1050000.0,12398.361138595577,70516.2792815238,0.11372466677888278,168534.09423828125,0.0007798395813551906,1.9376388803843587,122078.73237989064,96277.63671875,59.88065325537163,-11778990.897313831,-12592980.367202437,0.8648179519685238
43,1075000.0,12612.513044760877,76004.76545223857,0.11269790294990234,169625.9765625,0.0008166440466084168,1.9921552554554045,128234.19169996568,100755.70068359375,67.77164258392921,-10414450.030558433,-11436756.629691903,0.8749950406367192
44,1100000.0,12807.086395994282,81754.2714516869,0.11205131695903334,170580.029296875,0.0008559176762901188,2.038949851645178,133532.95469011532,104548.84033203125,75.54098607789709,-9090703.634775478,-10405419.249015762,0.8851925944235972
45,1125000.0,12983.472911260029,87784.73573011432,0.11168465988974002,171380.2734375,0.000898043367669743,2.0773543807763684,137882.61617503187,107607.06787109375,83.13211127815005,-7817659.955157849,-9482953.054235412,0.8954105887368945
46,1150000.0,13145.97763630534,94114.63950636025,0.11151928239751313,172052.2705078125,0.0009428890166418569,2.109106419169734,141463.8824532702,110076.45263671875,90.6233483980416,-6601388.922629277,-8655960.567475593,0.9056489256953133
47,1175000.0,13297.158156716747,100763.17669907835,0.11150811100234645,172602.11181640625,0.0009905355682349182,2.135814430749389,144432.04448341098,112078.74755859375,98.0600863682606,-5454320.7457025265,-7912863.8809413295,0.9159074406941767
48,1200000.0,13438.252680270147,107751.45576693508,0.11160154759958585,173032.1044921875,0.001041199880091881,2.1576688715713157,146811.84818066534,113641.85791015625,105.45536190660057,-4390940.401921761,-7243209.61762751,0.9261859099112937
49,1225000.0,13570.407209717136,115097.99498656247,0.1117621183829444,173385.64453125,0.0010948108410957502,2.175584140935501,148751.5675318872,114886.73095703125,112.81837670881178,-3429825.2108696066,-6639715.076419044,0.9364840596642131
50,1250000.0,13694.793116404844,122823.97302361137,0.11198543963728105,173676.513671875,0.0011514337074913783,2.1907131492926517,150373.80120523006,115904.150390625,120.17138944841605,-2587717.5784985684,-6095053.730603388,0.9468015704054419
51,1275000.0,13812.72041268438,130950.4119371624,0.11225673314938195,173907.0556640625,0.0012111806881875964,2.203322783171387,151695.7237342273,116705.3955078125,127.55203147066914,-1875670.4481053152,-5602401.520554598,0.9571380770315672
52,1300000.0,13925.322355663035,139500.54450123268,0.11256411046392482,174072.47314453125,0.0012742325452563819,2.213506273191678,152713.31524603543,117286.474609375,134.9983364488417,-1298882.6046890256,-5156107.181542431,0.9674931722441503
53,1325000.0,14033.617995499812,148496.11528666117,0.11289835642243341,174162.60986328125,0.0013407814094534842,2.221420218727243,153425.68416472984,117644.9462890625,142.54989563525587,-854267.9302506247,-4750913.928772959,0.9778664171144993
54,1350000.0,14138.586835182257,157961.78317997453,0.113255360392184,174214.306640625,0.001410709046467673,2.228084581034833,153981.30161372147,117893.1396484375,150.23922107086295,-530839.5088930072,-4382722.30749922,0.9882573462286304
55,1375000.0,14241.1075904541,167920.27966635488,0.1136280984033619,174260.44921875,0.0014837887647445314,2.234027900543868,154468.39920728607,118095.947265625,158.08353283412998,-309817.17202741385,-4048279.61427643,0.9986654731515271
56,1400000.0,14341.9475592396,178393.89556267438,0.11401287985772746,174301.0986328125,0.0015600809319948894,2.23927054316371,154882.43701314024,118248.6328125,166.11238062697282,-168710.08764879993,-3744105.0954558235,1.0090902938180941
57,1425000.0,14441.719551255781,189404.31678667266,0.11440627989854421,174331.4453125,0.0016396722912759287,2.243777822710897,155210.48482671002,118340.234375,174.35774751880558,-85091.86018376789,-3466954.084398753,1.0195312890465258
58,1450000.0,14540.87393561696,200974.97647157035,0.1148061624488542,174341.22314453125,0.001722713705021306,2.247526332775718,155437.44139453498,118358.0078125,182.84869919843297,-39374.708828659845,-3214026.105220862,1.0299879242506866
59,1475000.0,14639.724488856838,213131.7921724093,0.11521712926534818,174321.4599609375,0.0018094253846356878,2.250838869841692,155586.61293680043,118318.00537109375,191.61203398493006,-16465.481491754184,-2982638.2341189277,1.0404596501791854
60,1500000.0,14738.467331520736,225898.07258874294,0.11563543545192755,174308.8134765625,0.001899506514746463,2.2540357830470756,155734.00160787915,118278.35693359375,200.6502428190109,-6029.259153881966,-2771063.6174954693,1.0509459060634518
61,1525000.0,14837.199872585203,239296.17011469163,0.11605959042622604,174312.58544921875,0.001992915485971025,2.257053717208922,155881.63485139154,118241.12548828125,209.97110256450142,-1770.6454766640506,-2577334.840922013,1.0614461210883477
62,1550000.0,14935.970777933291,253348.549297376,0.11648879666740654,174325.87890625,0.002089786448777886,2.2597393943677817,156004.7939008369,118187.8662109375,219.58603134403558,-287.43142939943186,-2399675.90113532,1.0719597168543915
63,1575000.0,15034.805637756679,268083.2743830078,0.11692214096186551,174338.6962890625,0.0021903476863371907,2.261953760207443,156078.2815034719,118099.7314453125,229.5085323409595,-0.0,-2236473.0430499995,1.0824861085002886
64,1600000.0,15133.72390489503,283525.9422060188,0.11736489520639726,174342.15087890625,0.002294786554557504,2.26384559873281,156109.8293273758,117981.5673828125,239.7514370773074,-0.0,-2086392.5792885688,1.0930247057504534
65,1625000.0,15232.745954960417,299699.4131713998,0.11781481437787107,174322.20458984375,0.002403381358817569,2.265519291438247,156093.3991976539,117827.3681640625,250.33147762835029,-0.0,-1948089.3031434962,1.1035749107249884
66,1650000.0,15331.887880225857,316640.9388738875,0.11826989048787616,174306.689453125,0.0025159583856293466,2.267057077323863,156067.90884469508,117667.7001953125,261.25001382282625,-0.0,-1820554.5230741375,1.1141361133995349
67,1675000.0,15431.145748988496,334367.34056009527,0.11872916799474799,174306.23779296875,0.002632369842103799,2.2683841099887787,156035.48601700133,117504.91943359375,272.50890412407483,-0.0,-1702931.2352347,1.1247077007710142
68,1700000.0,15530.518317771164,352914.5432748417,0.11919231095378083,174314.66064453125,0.0027528499231266323,2.269372235306458,155975.73214032874,117324.03564453125,284.12336303053377,-0.0,-1594223.8231574963,1.13528904951416
69,1725000.0,15630.006167906391,372305.9080740682,0.11966437972296252,174328.40576171875,0.0028774661586794537,2.2700834491693653,155894.10493619367,117128.96728515625,296.1045518574236,-0.0,-1493728.4663920493,1.1458795351600624
