z	T	P	nabla_ad	S	rho	delta	cp	cv
0.0	9389.22399655	3805.37504887	0.119976168979	174368.945312	6.01628826757e-05	1.52658408419	83337.2963718	68054.4128418
25000.0	9510.14927846	4237.2135293	0.1181801628	174345.722805	6.58868850002e-05	1.5545592642	86487.1368144	70605.8115712
50000.0	9628.89244393	4709.78209956	0.116547270655	174363.224183	7.2046036923e-05	1.58296651047	89712.5188654	73208.4325692
75000.0	9745.60663158	5226.17261597	0.115136437536	174374.960575	7.86772341124e-05	1.6105209015	92810.1369029	75688.4938186
100000.0	9860.61783703	5789.80207063	0.113964039685	174345.535238	8.58219690593e-05	1.6362566864	95629.391766	77919.2168802
125000.0	9974.07797253	6404.285756	0.11289240365	174347.544639	9.34868717798e-05	1.66219136407	98488.5088623	80172.4316989
150000.0	10086.0672688	7073.17421702	0.111920433462	174389.083332	0.000101691915914	1.68845770917	101415.756068	82472.1619661
175000.0	10196.759404	7800.54784664	0.111123645485	174378.330812	0.000110510125102	1.7127050041	104034.257925	84500.1866716
200000.0	10306.2830853	8590.49738056	0.110408423455	174393.193469	0.000119937675655	1.73680170535	106658.910211	86525.5409001
225000.0	10414.7325999	9447.29839532	0.109795350352	174400.481885	0.000130023668532	1.76018682426	109177.474216	88452.2311566
250000.0	10522.2395797	10375.9155765	0.109297537885	174375.525788	0.000140822580422	1.78190910046	111459.747623	90174.295672
275000.0	10628.8899148	11381.0633444	0.108845742627	174378.739445	0.000152332824704	1.80383692348	113783.831795	91922.3786731
300000.0	10734.7230997	12467.772663	0.108448436018	174397.157207	0.000164595393207	1.82545004764	116082.901544	93642.793978
325000.0	10839.8101361	13641.4741786	0.1081291597	174391.857281	0.000177678325667	1.84571402444	118198.509219	95206.0841276
350000.0	10944.2457934	14908.0145911	0.107869662946	174371.572343	0.000191621886384	1.86511034508	120185.486396	96656.1284687
375000.0	11048.069074	16273.2140936	0.10764872883	174380.397533	0.000206424750403	1.88449258664	122194.725146	98118.4566108
400000.0	11151.3194595	17743.0917968	0.107479169012	174398.424758	0.000222142189479	1.90359471072	124171.547475	99547.5861811
425000.0	11254.0568478	19324.6278697	0.107369274069	174386.304618	0.00023886540411	1.92127837215	125946.232302	100807.155845
450000.0	11356.3525814	21024.2877227	0.107293184632	174368.66632	0.000256614015192	1.93835577357	127631.410555	101987.302395
475000.0	11458.2177405	22849.676869	0.107234071516	174378.48186	0.000275394661558	1.95559479355	129362.332226	103200.269158
500000.0	11559.6695858	24807.7841443	0.107205597227	174396.290001	0.000295270545475	1.9722844475	131054.039287	104381.510812
525000.0	11660.7525592	26906.4510603	0.107223679567	174388.263979	0.000316344732753	1.98791260005	132597.800121	105440.565815
550000.0	11761.5245591	29154.2553191	0.107267386098	174366.928446	0.000338658166329	2.00264493129	134027.780245	106406.182626
575000.0	11861.9901785	31559.6000427	0.107315808609	174373.321344	0.000362189846371	2.01749622163	135510.098205	107412.356272
600000.0	11962.1524133	34131.0437684	0.107383145375	174391.864273	0.000387011211483	2.03201389136	136969.524995	108398.09279
625000.0	12062.0397794	36877.6683128	0.107485396578	174394.606991	0.000413230893823	2.04549879895	138287.739351	109268.876183
650000.0	12161.7066226	39810.0260475	0.107625776041	174368.730577	0.000440949221112	2.05822014731	139474.265522	110029.934772
675000.0	12261.1766731	42937.8567256	0.107776080607	174367.333271	0.000470103910508	2.07111143766	140701.434519	110820.270457
700000.0	12360.448762	46271.0427076	0.107937243045	174383.784688	0.000500754826835	2.08373885109	141921.250028	111603.914205
725000.0	12459.5327503	49820.5923781	0.108114546592	174397.832187	0.000533011199711	2.09552696503	143048.474836	112314.706518
750000.0	12558.4579729	53598.1245385	0.108316001834	174379.836021	0.000567029655556	2.10608039854	143998.078064	112884.68913
775000.0	12657.2611806	57615.3762946	0.108534243367	174361.68425	0.000602787043992	2.11661440638	144934.683184	113440.55949
800000.0	12755.9428194	61884.3341513	0.108760433768	174368.857787	0.000640260391004	2.12737049453	145918.954797	114031.677512
825000.0	12854.5032016	66417.3130253	0.10899798672	174387.790658	0.000679547064211	2.13782663926	146881.908153	114605.470747
850000.0	12952.9552333	71227.3772876	0.109250765078	174397.294307	0.000720790567316	2.14743230138	147740.938494	115098.596304
875000.0	13051.3290982	76328.6890748	0.109522910144	174372.393973	0.000764175880854	2.1558598574	148428.575284	115457.963936
900000.0	13149.651655	81735.7244989	0.109808684298	174358.118176	0.000809596540394	2.1643320815	149127.097055	115823.39325
925000.0	13247.9212536	87462.1314702	0.110103628591	174366.682397	0.000857054277018	2.17290619674	149860.703303	116215.296025
950000.0	13346.1383727	93521.9141625	0.110407767746	174385.345386	0.000906661557496	2.18119111078	150575.815046	116593.740076
975000.0	13444.3120456	99931.431737	0.110721159567	174395.184186	0.00095859260465	2.18878208894	151209.549264	116911.378723
1000000.0	13542.463917	106707.346421	0.111044254121	174372.595721	0.00101306994559	2.19539900626	151706.253419	117125.569805
1025000.0	13640.6146402	113865.894482	0.111375585135	174355.316086	0.00106996409454	2.20195067315	152206.239219	117342.997429
1050000.0	13738.7602137	121425.236566	0.111713731691	174360.424882	0.00112925028338	2.20856624261	152741.232065	117588.309603
1075000.0	13836.8985803	129401.016929	0.112059608811	174377.535577	0.00119104514777	2.21494227777	153264.818522	117826.00118
1100000.0	13935.0356597	137810.2808	0.112413853286	174391.620541	0.00125551980732	2.22077791661	153726.320495	118017.451417
1125000.0	14033.1871879	146675.014684	0.112776729525	174382.243463	0.0013229216453	2.22583462	154076.749795	118124.832879
1150000.0	14131.3777536	156014.339811	0.113151089427	174356.884241	0.0013933122541	2.23057116593	154375.254519	118192.947708
1175000.0	14229.6128638	165847.65508	0.113532949382	174353.309828	0.00146648174027	2.23534065924	154702.961696	118284.78968
1200000.0	14327.8880968	176194.586053	0.113921674377	174365.290469	0.00154251445141	2.23995099867	155030.834301	118377.823512
1225000.0	14426.2042392	187075.650983	0.114316524728	174381.844105	0.00162159457739	2.24417920523	155321.093171	118443.793339
1250000.0	14524.568415	198512.567876	0.114716368401	174388.475005	0.00170393044193	2.24783664672	155538.636524	118456.01807
1275000.0	14622.9971351	210528.539974	0.115126002558	174370.461545	0.00178979873155	2.2511008215	155686.380289	118415.848338
1300000.0	14721.5096808	223147.471171	0.115543507147	174351.998737	0.00187905871833	2.25425568825	155822.996721	118367.976615
1325000.0	14820.1044762	236393.197374	0.115966854524	174352.140273	0.00197159508417	2.25728628353	155968.125308	118328.577173
1350000.0	14918.7786628	250290.277365	0.116395339494	174363.912537	0.00206756004688	2.26002240991	156095.169169	118277.868285
1375000.0	15017.5328474	264859.152865	0.116827858626	174377.779612	0.00216712812911	2.26231064042	156177.142067	118195.650869
1400000.0	15116.3742119	280126.547674	0.11726875418	174385.059995	0.00227049014233	2.26424225122	156216.597924	118083.301962
1425000.0	15215.3187265	296123.259313	0.117717996897	174370.885669	0.0023779782426	2.26593583686	156208.569721	117935.53505
1450000.0	15314.3817287	312871.032803	0.11817215827	174351.745144	0.0024894787612	2.2674865581	156180.414832	117773.462962
1475000.0	15413.5635886	330405.544542	0.118630822175	174348.543616	0.00260483597598	2.26884664976	156148.658084	117610.757714
1500000.0	15512.8599355	348745.631391	0.119093094746	174355.624518	0.00272416474346	2.26989062424	156093.44054	117432.841978
1525000.0	15612.2717529	367923.104862	0.119563298405	174369.171769	0.00284759517639	2.27063911457	156014.787441	117239.569672
1550000.0	15711.8052777	387969.061748	0.120042744494	174381.243717	0.00297534957192	2.27113951586	155910.392898	117028.744656
1575000.0	15811.4706802	408909.363439	0.120527679322	174378.78953	0.00310775810225	2.27141968203	155768.097827	116790.432589
1600000.0	15911.2830228	430778.433022	0.12101387439	174355.882286	0.00324510084837	2.27155233345	155588.747856	116524.905207
1625000.0	16011.2480398	453612.920095	0.121502568037	174342.996953	0.00338696917355	2.27147252303	155396.477806	116251.902799
1650000.0	16111.3624051	477443.250173	0.121998786052	174343.968386	0.00353332273487	2.27116613377	155194.472839	115974.103834
1675000.0	16211.6259766	502298.219982	0.122504815335	174355.424298	0.00368427047028	2.27064596639	154980.812684	115689.80713
1700000.0	16312.042077	528210.760509	0.123018551259	174370.165157	0.00384005917067	2.26989529861	154745.564731	115391.167198
1725000.0	16412.6169935	555215.563139	0.123536785128	174379.078219	0.00400101275913	2.26892231644	154480.240257	115071.461601
1750000.0	16513.3600626	583349.622255	0.12405497136	174370.980793	0.0041675473661	2.26777409257	154179.082634	114726.001496
1775000.0	16614.2828457	612652.054918	0.124574706199	174348.181997	0.00433974239989	2.26653457144	153856.642826	114365.937479
1800000.0	16715.3889678	643159.027389	0.125103183847	174338.856778	0.00451699616594	2.26510905994	153530.899811	114005.930612
1825000.0	16816.6786137	674914.486627	0.125639837792	174341.543613	0.00469945855193	2.26346354147	153195.133051	113640.882964
1850000.0	16918.1512733	707946.715285	0.126183156517	174351.514075	0.0048873048378	2.26158346613	152841.261525	113264.430647
1875000.0	17019.809296	742292.069946	0.126731009541	174363.041531	0.00508079387944	2.25946593406	152462.666599	112871.45587
1900000.0	17121.6574305	777987.92477	0.127285464991	174372.076149	0.00528009933515	2.25713547832	152059.770383	112462.393271
1925000.0	17223.7065088	815093.448879	0.127845006254	174371.305416	0.00548564135593	2.25469307805	151637.123711	112040.140494
1950000.0	17325.9642242	853635.044953	0.128404371524	174353.159998	0.00569776769527	2.25227105036	151202.111263	111609.393696
1975000.0	17428.4371507	893658.945535	0.128967634958	174338.787777	0.00591596794448	2.24972151992	150759.712031	111174.952335
2000000.0	17531.1265656	935220.510642	0.129536393647	174334.291721	0.00614019100298	2.24694851452	150304.563786	110733.166171
2025000.0	17634.0297135	978338.446517	0.13011469896	174339.023459	0.00637037665413	2.24390647553	149832.283369	110281.235309
2050000.0	17737.1534121	1023083.40635	0.130702853547	174350.01551	0.00660681498002	2.24062827365	149341.800324	109818.122066
2075000.0	17840.4983171	1069471.38574	0.131297901957	174362.099933	0.00684970218826	2.2371863506	148833.95929	109343.780704
2100000.0	17944.0727605	1117568.92384	0.131896171227	174369.121905	0.00709950448049	2.23366239155	148310.862608	108859.153089
2125000.0	18047.882259	1167417.50389	0.132493583709	174364.07881	0.00735663866907	2.230148707	147777.012178	108367.131158
2150000.0	18151.9332912	1219057.85945	0.133091305853	174345.118062	0.00762125515601	2.22668394594	147237.133264	107871.179365
2175000.0	18256.2345725	1272566.43772	0.133696954523	174332.829689	0.00789270772444	2.22306498521	146689.047303	107371.01605
2200000.0	18360.7847522	1327971.86958	0.134311269518	174330.108066	0.00817089637985	2.21924260481	146129.517185	106864.460636
2225000.0	18465.5848598	1385317.78438	0.134932604833	174334.195586	0.00845602607605	2.21522761509	145556.766798	106350.070068
2250000.0	18570.6374905	1444655.1779	0.135560472854	174342.440302	0.00874830685341	2.21101323925	144968.208726	105826.063087
2275000.0	18675.9484165	1506045.90084	0.136197657249	174353.046548	0.0090478847002	2.20657960948	144360.73413	105290.193608
2300000.0	18781.5230501	1569539.85959	0.136841070214	174361.496376	0.00935509729915	2.20201953431	143740.075116	104746.268044
2325000.0	18887.366273	1635183.33867	0.137486205447	174362.43132	0.00967037008456	2.1974553835	143113.843591	104199.248013
2350000.0	18993.4840083	1703035.11956	0.138127438204	174349.778856	0.0099942489872	2.19302651645	142491.273827	103655.306046
2375000.0	19099.8811007	1773155.52878	0.138769925878	174332.771885	0.0103263646466	2.18860397053	141867.458554	103111.565447
2400000.0	19206.5601705	1845598.61606	0.139423501729	174325.263104	0.0106659597391	2.18394418148	141228.714479	102559.056637
2425000.0	19313.5237472	1920416.94557	0.140087012588	174325.46231	0.0110132176468	2.17908278061	140576.647147	101998.703495
2450000.0	19420.7747335	1997664.1403	0.140758626478	174330.976753	0.0113683746488	2.17406561034	139913.240178	101431.552083
2475000.0	19528.316317	2077395.12341	0.141436447538	174339.144306	0.0117317117646	2.16894013937	139239.994871	100858.210291
2500000.0	19636.1530233	2159665.67748	0.142123616109	174348.567028	0.0121033180442	2.16365277074	138549.88765	100273.530632
2525000.0	19744.2912761	2244534.87422	0.142817800826	174356.151682	0.0124835019862	2.15827636786	137848.719373	99681.6629909
2550000.0	19852.7393417	2332088.02606	0.143513214727	174357.47931	0.0128728383216	2.15295069108	137148.621232	99091.2414352
2575000.0	19961.4981667	2422364.66938	0.144202865287	174347.509064	0.0132718235524	2.14782142491	136462.565839	98511.5494827
2600000.0	20070.569336	2515428.57863	0.144888558626	174330.618258	0.0136803108933	2.14280855421	135787.111481	97940.6328586
2625000.0	20179.9551536	2611336.35199	0.145586891614	174321.219556	0.0140971490825	2.13750294046	135090.843485	97356.8624917
2650000.0	20289.6634051	2710176.22019	0.146298203367	174318.998383	0.0145224959905	2.13191834251	134374.328014	96760.5388088
