z	T	P	nabla_ad	S	rho	delta	cp	cv
0.0	3500.36064629	90.3396036602	0.340919585467	174368.933105	4.06204048176e-06	1.03306281567	19628.9446518	12862.4481201
25000.0	3896.38926857	120.937787324	0.385334323579	174360.754395	4.87764673096e-06	1.00800204277	16729.8522292	10267.8009033
50000.0	4317.87243113	157.197934589	0.395519953167	174379.016113	5.71903591151e-06	1.00243937969	16154.437782	9758.7097168
75000.0	4744.05130333	199.35498378	0.395908935463	174360.449219	6.60031496125e-06	1.00137007236	16104.6714612	9721.22268677
100000.0	5167.54243692	247.705552005	0.390394933015	174380.834961	7.52808304583e-06	1.0023162365	16327.4796796	9931.11343384
125000.0	5580.91049897	302.601569633	0.376720808499	174361.767578	8.51310577588e-06	1.00564289093	16937.1595379	10497.1549988
150000.0	5974.0096597	364.496322258	0.352857038899	174366.992188	9.57446832928e-06	1.01292657852	18161.2498381	11626.0627747
175000.0	6336.51429	433.999194197	0.32102244591	174368.811035	1.07374908964e-05	1.02542126179	20133.125614	13432.093811
200000.0	6662.70583376	511.894386296	0.286858078464	174357.836914	1.20268897064e-05	1.04347884655	22872.0516343	15927.9083252
225000.0	6952.62824527	599.119361056	0.255054753137	174379.6875	1.34624205117e-05	1.06678938866	26252.8693173	18987.8585815
250000.0	7210.73759026	696.731668781	0.228627669487	174359.033203	1.50593315595e-05	1.09349441528	29996.511259	22353.62854
275000.0	7442.65251999	805.878834739	0.20700801133	174360.632324	1.68292526581e-05	1.12325334549	34042.4664195	25966.9433594
300000.0	7653.18629415	927.789462798	0.189701948008	174369.53125	1.87848723243e-05	1.15486180782	38251.8529489	29701.8737793
325000.0	7846.84041991	1063.78715977	0.176076268999	174352.941895	2.09394208639e-05	1.18717205524	42449.5147937	33399.6765137
350000.0	8026.80160676	1215.27614512	0.164869416298	174374.658203	2.33045334141e-05	1.22079360485	46754.6789095	37168.0084229
375000.0	8195.53974964	1383.75755374	0.155934614522	174360.400391	2.58985863866e-05	1.25385081768	50911.8227799	40780.3741455
400000.0	8355.25772032	1570.85485528	0.148622506705	174349.584961	2.8734611135e-05	1.28696131706	55006.9977655	44313.5314941
425000.0	8507.31414301	1778.27600059	0.142368611171	174383.984375	3.18263637666e-05	1.32088649273	59180.604642	47893.2159424
450000.0	8652.97416844	2007.8615525	0.137365971446	174354.56543	3.52008733273e-05	1.35286390781	63028.9075971	51165.2740479
475000.0	8793.29735308	2261.59824763	0.133085686247	174348.205566	3.88690253317e-05	1.38494312763	66854.6902037	54396.9482422
500000.0	8928.92140808	2541.55416499	0.129319271257	174380.26123	4.28480575465e-05	1.41761088371	70740.6915542	57660.7727051
525000.0	9060.5546408	2849.98422279	0.126290172585	174350.354004	4.71717385153e-05	1.44779968262	74257.0615748	60586.0961914
550000.0	9188.7784361	3189.29714697	0.123605253827	174343.591309	5.18515328451e-05	1.478094697	77763.9587652	63485.4248047
575000.0	9313.90683262	3561.98548921	0.121216324881	174383.056641	5.69025004893e-05	1.50901710987	81353.5218987	66438.9099121
600000.0	9436.35760076	3970.76818307	0.119269995414	174349.682617	6.23740916694e-05	1.53728938103	84536.8943717	69026.8005371
625000.0	9556.49760107	4418.56084333	0.117549080331	174338.916016	6.82716816414e-05	1.56528604031	87697.3504119	71582.5195312
650000.0	9674.50365283	4908.34617219	0.115953978288	174382.543945	7.46103623328e-05	1.59423935413	91002.1853693	74246.9482422
675000.0	9790.59644054	5443.34032628	0.114680927412	174354.455566	8.14527254533e-05	1.62035417557	93884.2755672	76539.0319824
700000.0	9905.06501454	6027.06531266	0.11354907791	174333.654785	8.88074325189e-05	1.64614450932	96709.5609963	78769.9829102
725000.0	10018.0156681	6663.0861304	0.112508492515	174357.910156	9.66865982832e-05	1.67235171795	99620.9513237	81063.5437012
750000.0	10129.5414178	7355.11427829	0.111613462429	174373.498535	0.000105138958872	1.69773256779	102409.074171	83240.9729004
775000.0	10239.8377611	8107.30514293	0.110843996031	174375.463867	0.000114201156975	1.72200655937	105041.714143	85277.6306152
800000.0	10348.9956719	8923.86340885	0.110164777121	174392.63916	0.000123890927739	1.74596488476	107647.836549	87283.6791992
825000.0	10457.1251961	9809.29452007	0.109602489035	174382.299805	0.000134266883833	1.76861250401	110057.188145	89115.8996582
850000.0	10564.3589081	10768.4574313	0.10912497583	174366.308594	0.000145355102177	1.79032444954	112343.578321	90838.1774902
875000.0	10670.7473366	11806.2611945	0.108691158913	174378.881836	0.000157168585702	1.81228029728	114677.435255	92591.1743164
900000.0	10776.3403787	12927.8607727	0.10832161699	174393.945312	0.00016975874928	1.83346450329	116923.434492	94265.6677246
925000.0	10881.2259479	14138.8537846	0.108033003262	174372.473145	0.000183199801995	1.85316348076	118951.591623	95753.918457
950000.0	10985.4802476	15445.1492568	0.107785152528	174365.307617	0.000197493903897	1.87262189388	120956.222101	97215.9606934
975000.0	11089.1335504	16852.6695695	0.107583750727	174381.262207	0.00021266805561	1.89196944237	122965.372107	98675.5187988
1000000.0	11192.2339101	18367.6871636	0.107435977511	174392.944336	0.000228789929224	1.9106849432	124887.397803	100057.70874
