z	T	P	nabla_ad	S	rho	delta	cp	cv
0.0	9389.22399655	3805.37504887	0.119976223889	174368.920898	6.01628968866e-05	1.52658295631	83337.245214	68054.3823242
25000.0	9510.00818067	4236.64117321	0.11818203335	174345.715332	6.58794476749e-05	1.55452466011	86483.2286562	70602.6611328
50000.0	9628.61374797	4708.56059041	0.116550998509	174363.037109	7.20303887647e-05	1.58289504051	89704.3080762	73201.8188477
75000.0	9745.19587478	5224.20106727	0.115140751425	174375.109863	7.86521070495e-05	1.61043035984	92800.193877	75680.6030273
100000.0	9860.07524776	5786.99017599	0.113969408632	174345.629883	8.57866027104e-05	1.63613426685	95615.9698821	77908.6181641
125000.0	9973.40822188	6400.45217567	0.112898392889	174347.363281	9.34394748242e-05	1.66203546524	98471.1879377	80158.7890625
150000.0	10085.2684127	7068.17688397	0.11192641337	174389.27002	0.000101630838856	1.68828487396	101397.164107	82457.7209473
175000.0	10195.8390291	7794.16009071	0.111129858095	174378.24707	0.00011043344017	1.71250236034	104012.170443	84483.0871582
200000.0	10305.2426548	8582.5575101	0.110414659393	174393.017578	0.000119843832636	1.7365732193	106634.070973	86506.439209
225000.0	10413.572061	9437.6987742	0.109801281938	174400.634766	0.000129911384761	1.75994551182	109151.905638	88432.8125
250000.0	10520.961433	10364.3012318	0.109303133317	174375.585938	0.000140688811712	1.78164815903	111432.149849	90153.4790039
275000.0	10627.4953778	11367.2366128	0.108851356261	174378.491211	0.00015217598559	1.80354762077	113753.048981	91899.2553711
300000.0	10733.2130883	12451.5003502	0.108453528575	174396.923828	0.00016441319417	1.82514989376	116051.158648	93619.152832
325000.0	10838.185178	13622.4533929	0.108133281496	174392.553711	0.00017746742742	1.84541809559	118168.574069	95184.2346191
350000.0	10942.5065601	14885.9161634	0.107873816637	174371.557617	0.000191380763681	1.86478483677	120151.881368	96631.5917969
375000.0	11046.2162813	16247.7424144	0.107652274579	174380.01709	0.000206150929216	1.88414490223	122158.633603	98092.2302246
400000.0	11149.3531016	17713.9935422	0.10748184447	174398.181152	0.000221832991087	1.90323853493	124135.044583	99521.3256836
425000.0	11251.9779803	19291.2132803	0.107371026894	174386.92627	0.000238514360262	1.92093682289	125912.762188	100783.648682
450000.0	11354.1603829	20986.4525631	0.107294669668	174368.701172	0.000256221937889	1.93798410892	127594.45483	101961.346436
475000.0	11455.9139676	22806.7044729	0.107235098649	174378.027344	0.000274956022395	1.95520842075	129323.290426	103172.888184
500000.0	11557.254353	24759.2301381	0.107205683197	174396.032715	0.000294781045795	1.97189557552	131014.935138	104354.321289
